id ground_truth predicted
137540 7 7
1375614 1 1
1385526 7 7
138698 12 12
1387163 12 12
1389888 1 1
1391639 6 6
1392222 3 3
1392450 1 1
139468 1 1
1396808 3 3
1398593 11 11
1399067 8 8
1401902 13 13
1404164 7 7
1405465 7 7
1405551 12 12
1410900 7 7
1411136 11 11
1411911 12 12
1412157 7 7
1414187 5 5
1414544 1 1
1416271 11 11
141754 1 1
1417790 1 1
1418086 1 1
1420394 12 12
1420894 5 5
142600 3 3
1428652 11 11
1428748 1 1
1429259 3 3
1429554 5 5
1430982 1 1
1431477 3 3
1431735 1 1
1435852 3 3
1438337 1 1
1439511 8 8
143967 8 8
1441004 1 1
1441237 13 13
144135 12 12
1444156 11 3
1444795 5 3
1445607 1 1
1449633 7 7
1449649 3 3
145161 3 3
1452874 12 12
1455673 8 8
1455730 8 8
1457888 1 1
1461760 12 12
1462085 5 5
1462791 1 1
1462915 8 8
1466027 7 7
1468159 1 1
1469918 8 8
147101 7 7
1471559 8 8
1472272 1 1
1472938 12 12
1474800 1 1
1475517 7 7
1480810 8 8
148533499 3 3
1489220 1 1
1491380 1 1
1499160 11 11
1501603 11 11
1503494 3 3
1520460 5 5
1521164 12 12
1523183 1 1
1525591 5 5
1526506 7 7
1535343 3 3
1535556 1 1
1536292 1 1
1536419 5 5
1536829 7 7
1537626 8 8
1545804 1 1
1550134 5 5
1555032 1 1
155519 8 8
1556674 5 5
1557862 12 12
1560885 3 3
1562299 1 1
1563793 1 1
1565998 12 12
1566246 1 1
1566610 12 12
1575139 12 12
1575494 1 1
1588731 5 5
1591843 3 3
1595 12 12
1596983 13 13
1599903 1 1
1602472 8 8
1606107 8 8
1610091 7 7
1610966 5 5
1612476 8 8
1612499 7 7
16130166 13 3
1627938 12 12
1629758 5 5
1632911 1 1
1635087 12 12
1645652 12 12
1649243 8 8
165037 5 5
1652399 5 5
1663196 1 1
1665125 3 3
1666183 1 1
1670962 1 1
1671537 1 1
1678279 8 8
1682292 7 7
1682353 1 1
1687750 11 11
16921 7 7
1692585 11 11
1702260 7 7
170317 7 7
1703173 8 8
170523 12 12
1711163 7 7
1712482 8 8
1712763 8 8
1713837 1 1
1722504 1 1
172439 1 1
1730567 8 8
173130 7 7
1739844 1 1
1746549 1 1
1751930 3 3
175262 8 8
175594 13 13
1756549 11 11
1758741 7 7
1763173 8 8
176838 1 1
1769113 8 8
1775696 12 12
177634 8 8
177766 12 12
1778571 1 1
1780196 13 13
1784361 12 12
1792592 3 3
1794598 13 13
1795464 13 13
18001151 3 3
1800273 11 11
1800557 1 1
1800582 1 1
1800681 12 12
1803443 1 1
1804765 5 5
1805639 13 13
1809663 1 1
1809686 3 3
1810790 12 12
181271 5 5
1819353 7 7
1819531 5 5
1822194 12 12
1828208 3 3
1829626 8 8
1829794 12 12
1833759 1 1
1834566 7 7
1835092 8 8
1835324 7 7
1836100 1 1
1840708 12 12
1842139 1 1
1842425 8 8
1848500 13 13
1848785 11 11
1854323 8 8
1864097 12 12
1865982 3 3
1866627 3 3
1870053 1 5
1870440 12 12
1878669 3 3
1878712 11 11
187977 12 12
1884886 6 6
1885654 1 1
1886251 8 8
1887839 12 12
1887873 5 5
1888319 13 13
1890782 1 1
1891321 7 0
1891884 11 11
1894522 7 7
1894897 3 3
1898687 12 12
1899198 5 5
1902279 8 8
1904995 13 13
1905684 11 11
1905840 12 12
1906162 5 5
1910019 1 1
19110887 3 3
1911634 3 3
1911670 11 11
1912787 8 8
1912948 12 12
191449 1 1
1920535 7 7
19214 5 5
1928524 8 8
1941714 1 1
1941877 7 7
1943421 8 8
1961671 7 7
1964159 1 1
1964376 8 8
1964864 7 7
1965480 1 1
1968378 1 1
1970372 5 5
1970962 7 7
197296835 3 3
197296836 3 3
1972977 11 11
1977601 7 7
1978712 11 11
1978774 13 13
1980182 5 5
1980528 1 1
1981104 7 7
1982652 3 3
1986967 7 7
19879250 3 3
1988591 6 6
198986 1 1
1994845 5 5
1998910 5 5
1999960 5 5
2000686 1 1
2003905 3 3
2004040 1 1
2006746 3 3
2010168 1 1
201559 13 13
2025030 11 11
2025639 7 0
2027772 1 1
2029289 1 1
2036016 3 3
2041492 13 13
2042164 7 7
204789633 1 1
204789674 1 0
2050128 5 5
2056147 3 3
2060798 1 1
2062241 12 12
2065010 8 5
2068068 5 5
2072721 8 8
2076416 5 5
2081460 3 3
2081564 8 8
2082256 1 1
2086351 8 8
2089280 5 5
2089937 8 8
2093101 12 12
2093498 11 11
2093515 12 12
2094663 7 7
2100936 11 11
2102988 7 7
2104318 1 1
2109022 8 8
2117633 12 12
2118183 11 11
211926987 12 3
211927017 12 3
212383 7 7
2138426 7 7
2139096 1 1
214057 1 1
2140776 1 1
2141969 7 7
2142065 1 1
2142187 5 5
2144365 12 12
2145011 7 7
2145017 1 1
2146093 3 3
2149205 11 11
215052 1 1
2151021 1 1
2151035 5 5
2151355 1 1
215949 12 12
2162025 7 7
2167825 8 8
216978 3 3
2170595 12 12
2170651 5 5
2171367 1 1
2175563 3 3
2181153 1 1
2184262 8 8
2186278 7 7
2196196 3 3
2196818 11 11
2207266 8 8
2209942 11 11
221053 1 1
221232 8 8
2212581 1 1
2214706 1 1
221624 5 5
2217295 1 1
2218856 12 12
2219798 7 7
2221973 1 1
2227953 7 7
2229064 5 5
223010 11 11
2232237 12 12
2238572 12 12
2238766 1 1
2243370 5 5
224588143 3 12
224588164 3 3
224588173 3 3
224588178 3 3
224588239 3 2
224588287 3 3
224588298 3 3
224588307 3 3
224588308 3 3
2246304 11 11
2246795 11 11
2253414 5 5
2253870 3 3
225393065 3 3
2254306 11 11
225612 8 8
2258232 12 12
2268897 1 1
2277007 7 0
22778480 3 3
2280168 8 8
2281825 5 5
2286981 1 1
2290244 5 5
2292212 1 1
2292739 3 3
2294187 13 13
2296484 12 12
2303247 5 5
2303361 13 13
2304674 1 1
2307480 12 12
2308995 3 3
2313017 12 12
2321068 3 3
2321989 12 12
2325035 1 1
2325366 12 12
2334242 11 11
2334263 12 12
2337662 1 1
2338897 12 12
2343744 3 3
23451048 3 3
2346345 8 8
2347243 5 5
2353020 5 5
2355438 7 7
2356390 7 7
2361135 13 13
2362607 1 1
2367986 11 11
2369671 12 12
2377845 7 7
237823426 2 2
2379885 11 11
2385048 5 5
2385069 1 1
2385330 1 1
2390651 8 8
2393020 1 1
2393337 1 1
2396106 1 1
2412936 1 1
2413484 8 8
242129262 3 3
242129265 3 3
2422473 1 1
2426339 7 7
2427826 1 1
2429684 8 8
2430465 12 12
2430770 1 1
2431391 8 8
243324 7 0
2435961 1 1
2441861 13 13
2443274 11 11
2447679 5 5
2449428 8 8
2458638 5 5
2462246 7 7
2469348 13 13
2473959 8 8
2474521 12 12
2474996 1 1
2476779 3 3
2478023 5 5
2480638 7 7
2481673 5 5
2482420 11 11
2484804 8 8
2487808 7 7
2489154 12 12
2489389 13 13
2492580 5 1
2498235 5 5
2498546 1 1
2498567 7 7
250535 7 7
2505895 7 7
2507378 11 11
250854 12 12
2509175 7 7
2510498 8 8
25140613 3 3
2514668 12 12
2517670 1 1
2517921 5 5
2518573 7 7
2519358 12 12
2521831 8 8
2522650 12 12
2523279 12 12
2525097 8 8
2525547 1 1
2525840 8 8
2526206 5 5
2528541 1 1
2533245 12 12
2539915 3 3
254316 1 1
2544550 1 1
2545109 5 5
254966766 3 3
254966871 3 3
254966883 3 3
254966888 3 3
254966948 3 3
254966984 15 15
254967003 12 12
254967027 12 12
254967029 12 12
254967031 12 12
254967038 12 12
254967048 12 12
254967054 12 12
254967145 1 1
254967240 5 5
2550128 6 15
256376 11 11
2564812 12 12
2565671 7 7
2567614 1 1
256775 1 1
2568502 3 3
257022 3 3
2570655 8 8
2570805 12 12
257136312 3 3
2571782 1 1
2574143 1 1
257803688 12 12
2580847 7 7
2585423 3 3
2594680 5 3
2597103 3 3
2597527 1 1
2599266 1 1
2599999 5 5
2600669 12 12
260218482 2 2
2602211 12 12
2605126 7 7
260679 8 8
2609520 8 8
2610350 1 1
26109487 2 2
2611910 7 0
2612015 12 12
261348124 3 3
2613636 1 1
2613955 1 1
2617117 7 7
2618048 12 12
2619388 8 8
2626416 12 12
2627466 1 1
2627693 1 1
2629240 12 12
2630661 12 12
2631419 8 8
263285 5 5
2636954 3 3
2637600 3 3
2643596 7 7
2644532 13 13
264839 7 7
2655239 1 1
265883 5 5
2662615 7 7
2663544 3 3
2669897 3 3
2679511 1 1
268298 3 3
2684435 12 12
26855 11 11
268615 8 8
269144622 2 2
2696363 3 3
2700363 8 8
270312219 3 3
2703734 3 3
2705676 5 5
270999 12 12
2710461 12 12
2711351 3 3
2714928 11 11
2717545 1 1
2718524 8 8
2720750 5 5
272289 1 1
2724900 3 3
2725407 11 11
272761 7 7
272834 1 1
2728754 1 1
2733765 5 5
2735139 12 12
2736894 12 12
2737720 7 7
2742587 3 3
274353 8 8
274731 1 1
2748123 11 11
2751178 7 7
2758059 6 6
2760748 5 5
2761526 1 1
276525 1 1
2765698 1 1
276661 1 1
2775637 1 1
2780610 5 5
2784938 1 1
2786135 3 3
279059 1 1
279381 7 7
2794036 3 3
279475 11 11
2794754 1 1
2797430 7 7
2800386 12 12
2801894 5 5
2807671 1 1
2808894 12 12
281021929 3 3
2810760 1 1
281599802 2 2
2819447 6 6
2822124 7 7
2822157 1 1
2822361 1 1
2822639 8 8
2824101 8 8
282617 12 12
283384 11 11
283600 1 1
283793372 2 2
2843581 7 7
2843829 3 3
284515 8 8
2850841 8 8
2853538 12 12
2855819 12 12
2859486 7 7
2863502 8 8
286417 1 1
2878206 1 1
2882556 3 3
2883217 3 3
2888533 1 1
2889835 8 8
2890224 12 12
28969 3 3
289912 12 12
2906367 7 7
290886 8 8
2909509 11 11
2914427 7 7
2915240 11 11
291556134 12 1
291752 1 1
2917614 8 8
2919994 1 1
2922744 12 12
2923088 5 5
292405 12 12
2926974 5 5
2929547 1 1
2935548 7 7
2939993 7 7
2940480 8 8
2941991 1 1
2947214 5 5
294928 1 1
295603 3 3
2956826 1 1
295775 7 7
295903 1 1
2959185 3 3
2960499 1 1
2960658 7 7
2962330 12 12
2963393 7 7
2975140 1 1
2980009 12 12
2980835 12 12
2980870 8 8
2982957 11 11
2983981 8 8
298571696 15 1
2987459 1 1
298839 1 1
298969 1 1
2990494 3 3
2992469 3 3
2992974 12 12
3005403 1 1
300791412 3 3
3011985 12 12
3016355 3 3
3016493 7 7
3016789 13 13
3020737 6 6
3022045 7 7
302261 5 5
3029249 5 5
3029405 8 8
3039099 8 8
3039613 1 1
304224 1 1
304260 11 11
3044147 7 7
304443 12 12
3046495 7 7
3050007 1 1
3052150 1 1
305221 12 12
3059836 5 5
306151 1 1
3070629 7 7
3076163 3 3
307740 1 1
3077465 3 3
308164 7 7
3083340 7 7
3089571 11 11
3101670 3 3
310464 1 1
3106691 11 11
310879947 2 2
3110021 8 8
3112006 6 6
3114756 8 8
3115064 1 1
3115525 3 3
311743 1 1
3118915 13 13
3119109 1 1
3119663 5 5
3124666 1 1
3125562 3 3
3128717 7 7
313343 8 8
313434 1 1
313575253 15 1
313575265 0 0
313575267 0 3
313575270 0 0
313638554 2 2
313655620 2 2
3136729 1 1
3140765 12 12
314519 8 8
3147787 7 7
3154079 1 1
3158907 12 12
3159831 1 1
3159986 12 12
3163289 13 13
316380 1 1
3172421 1 1
3173227 8 8
317446360 3 3
3177777 1 1
3179459 7 7
3181768 5 5
3183180 1 1
3185336 12 12
3187996 1 1
3188183 11 11
3191081 1 1
3191669 11 11
3193210 11 11
319793 1 1
3202962 12 12
3205139 7 7
3205220 12 12
3208943 7 7
3209673 12 12
321143 11 11
3211745 12 12
3213976 1 1
3214289 1 1
32172498 3 3
321802 1 1
3220219 1 1
322487 12 12
323454 3 3
3238025 3 3
324063 8 8
3244452 12 12
3252796 7 7
3255712 1 1
3257159 1 1
3258531 5 5
3260197 8 8
3263584 3 3
3266203 1 1
3267722 3 3
3267737 7 7
3269116 1 1
327250 7 7
3272613 7 7
3276272 12 12
3278900 5 5
3280460 12 12
328203 7 7
328800 6 6
3288386 3 3
3291005 8 8
329148 8 8
3291512 8 8
329461 12 12
3294967 1 1
3296302 11 11
3298163 11 11
3298258 3 3
3298828 7 7
3302825 1 1
330363 12 12
3312697 7 7
3321662 8 8
3322163 7 7
3323680 8 8
3325224 7 7
3333059 12 12
3340171 5 5
334100905 3 3
3341243 7 7
3344099 1 1
3347133 12 12
3348427 1 1
3350751 8 8
3353258 7 7
3353744 8 8
3354783 5 5
3356204 7 7
335623 5 5
3357323 1 1
336290 3 3
3365448 5 5
3367530 11 11
3369532 3 3
337300 11 11
3386787 12 12
338782854 3 3
3390046 11 11
3390227 7 7
3393056 12 12
3395432 5 5
3402379 7 7
340494 8 8
3406230 1 1
341792 1 1
3419443 8 8
3420122 12 12
3420622 1 1
3425176 8 8
3425641 1 1
3426677 7 7
3427017 7 7
3430584 8 8
3432397 7 7
3432537 1 1
3435667 7 7
3436003 8 8
3436317 1 1
3438602 8 8
3438830 5 5
3443910 12 12
3445293 5 5
3446618 12 12
3448779 11 11
3448781 8 8
3449721 1 1
3450769 7 7
3451228 3 3
3451665 12 12
3451723 5 5
3452494 5 5
3453856 5 5
3462778 7 7
3463775 12 12
3463915 12 12
3465634 12 12
3474495 1 1
3475748 7 7
3477013 3 3
3477130 5 5
3485821 3 3
3486680 1 1
3489413 1 1
3490202 3 3
3494242 12 12
3495587 12 12
3495905 8 8
3495952 5 5
3497047 5 5
3498138 5 5
3499299 7 7
3504059 12 12
3504865 3 3
3506309 1 1
3507167 3 3
3508746 3 3
3510933 11 11
3512106 1 1
3517072 11 11
352557 12 12
3526715 5 5
3529527 8 8
3530409 7 7
3533968 1 1
3537837 11 11
3538333 1 1
353895 7 7
3540395 7 7
3540927 3 3
3548317 7 7
3548612 1 1
354941 1 1
3550291 8 8
355053 1 1
3552663 8 8
355348617 3 3
3563387 12 12
3564755 5 5
356668598 12 12
356668607 12 12
356668615 12 12
357089 5 5
3576691 7 7
3579822 12 12
3580193 12 12
3581902 1 1
358234663 2 15
3585355 3 3
358957 7 7
3591464 7 7
3591506 7 7
3591631 1 1
3592068 8 8
3593077 1 1
3598023 5 5
3599030 1 1
3599174 1 1
3600769 5 5
3601471 8 8
3601619 7 7
360679 1 1
3608975 12 12
361132547 5 5
3614905 12 12
3621993 3 3
3630923 12 12
3631349 12 12
3634174 8 8
3634727 8 8
3635845 1 1
3638060 11 11
3638192 3 3
3644182 12 12
364432 12 12
364569463 9 9
365187 7 7
365748854 2 2
3659773 1 1
3659946 12 12
3660659 11 11
3667811 8 8
3668888 3 3
3670396 8 8
3670400 3 3
3671676 5 5
3673324 3 3
3679694 12 12
3686540 7 7
3689144 11 11
3703876 5 5
3706014 7 7
3707900 8 8
3708344 12 12
3708465 5 5
3708530 1 1
371044 1 1
3711421 11 11
3717711 5 5
372329 8 8
3728675 7 7
3729096 8 8
3733456 8 8
3735355 7 7
37515380 3 3
375385 7 7
3754707 1 1
376342 12 12
3770924 7 7
3773454 11 11
3775412 11 11
3777010 7 6
3777557 12 12
377767 1 1
3781890 11 11
3782079 1 1
3784444 7 7
3785788 12 12
3785945 5 5
3791094 7 7
3793265 1 1
3796095 8 8
3796681 1 1
3796690 7 7
3796834 11 11
379844 7 7
380263 1 1
3805017 12 12
3805354 7 7
3810750 8 8
3812090 7 7
3812897 1 1
381446 3 3
3814904 1 1
3818749 1 1
3820540 1 1
3821479 7 7
3821726 8 8
3824614 11 11
3827720 12 12
3834698 8 8
383478988 3 3
3836514 3 3
383842774 3 3
3838683 7 7
3839546 12 12
3841138 13 13
3841441 5 5
3843381 8 8
3843922 12 12
3844467 1 1
3844520 1 1
3846528 8 8
3846593 1 1
3847647 7 7
3850227 8 8
3853605 12 12
3853906 7 7
3854570 7 7
3855229 7 7
3856260 1 1
3857574 8 8
38600 5 5
3860475 3 3
3864196 1 1
3865378 5 5
3865424 8 8
3865746 1 1
3866231 8 8
3866288 3 3
3866879 7 7
3867357 8 8
3867555 12 12
3868420 7 7
3870871 12 12
387187 1 1
3873844 3 3
3873857 3 3
3873866 3 3
3873885 3 3
3873889 3 3
3873896 3 3
3873897 3 3
3873908 3 3
3874003 3 3
3874016 3 3
3874038 3 3
3874211 7 0
3874226 7 0
3874435 7 0
3874446 7 0
3874569 7 0
3874585 7 7
3874623 7 0
3874659 7 0
3874712 7 7
3874760 7 0
3874814 7 0
3874900 7 7
3874920 7 7
3874955 7 0
3874965 7 0
3874981 7 0
3874990 7 15
3874996 7 0
3875036 5 5
3875047 5 5
3875049 5 5
3875051 5 5
3875052 5 5
3875064 5 5
3875068 5 5
3875069 5 5
3875070 5 5
3875078 5 5
3875088 5 5
3875101 5 5
3875152 3 3
3875164 5 5
3875165 5 5
3875177 5 5
3875180 5 5
3875193 5 5
3875199 10 1
3875200 10 1
3875274 15 15
3875287 15 15
3875608 7 7
3875610 7 7
3875626 7 3
3875629 7 3
3875632 7 3
3875634 7 7
3875701 8 8
3875706 8 8
3875751 6 6
3875761 6 6
3876021 5 3
3876044 3 3
3876052 3 3
3876061 5 5
3876151 8 5
3876153 8 5
3876222 4 15
3876224 1 1
3876598 13 13
3876599 13 13
3876604 5 5
3876605 5 5
3876611 5 5
3876994 1 1
3877048 1 1
3877067 1 1
3877074 4 15
3877091 12 12
3877096 4 15
3877099 4 15
3877112 4 3
3877115 4 9
389378 7 7
389649 1 1
391322939 2 2
391730 1 1
392286 8 8
396086041 3 3
396086043 3 3
397536 11 11
397744192 2 2
398522 7 7
399000 2 2
399327 1 1
400369 8 8
40145 5 5
401668654 3 3
402201 7 7
402496430 15 15
402496434 5 5
405643 1 1
40673 1 1
40950501 3 3
420 1 1
421197 8 8
425295 1 1
427274 5 5
431349 8 8
432651 12 12
432984 1 1
44006 3 3
440503048 10 3
440503128 5 5
445777 8 8
445983943 9 9
446426 3 3
446519889 2 2
446954423 1 1
447004719 2 2
447120629 2 2
447210 7 7
4614 12 12
461784 12 12
463204 8 8
46371956 5 5
46371960 1 3
46371963 5 5
46371967 5 5
467614 1 1
467616 12 12
468947 7 7
469474703 6 6
469479 1 1
470054 8 8
471240 12 12
471538 3 3
476511 1 1
479869336 3 3
479884690 3 3
479907536 3 3
480034468 3 3
484 3 3
484805 5 5
488234610 12 12
488403165 2 2
488868725 9 9
489058813 14 3
489172727 6 6
489218289 12 12
489369 3 3
489421661 2 2
489685 1 1
489997441 8 15
490311564 2 2
49065969 3 3
490998761 2 2
491204525 5 5
491533320 1 1
491618165 6 6
491689491 12 12
493328357 12 12
493394434 2 2
493932882 2 2
494 3 3
494774722 12 12
494795 7 7
495352880 2 2
496186857 2 2
496192662 2 2
496339860 2 2
496946 11 11
498003897 2 2
498430067 2 2
498910477 2 2
499199019 8 8
499256187 2 2
499339402 12 12
499339403 12 12
499565146 9 15
499739 8 8
499780569 12 12
500187919 12 12
500194536 14 15
500632934 3 3
501051234 9 15
501932 7 7
502019216 10 15
502430 8 8
504744674 13 15
505244441 11 11
506379872 2 2
507033190 3 3
507044560 14 9
507050365 14 15
50734 8 8
507724 6 6
509450 13 13
510143239 14 15
510802924 5 5
511473 1 1
515954236 2 2
516493220 2 2
517010483 12 12
517405910 2 2
518288732 1 1
518522007 2 2
522064112 12 12
523132 1 1
528628 8 8
535085 12 12
536465 13 13
536498 5 5
536800 7 7
544568 7 7
545051853 12 12
545094 1 1
545675 3 3
545825 1 1
545984 12 12
547635 5 5
551734 13 13
554316762 2 2
554684122 2 2
555336 8 8
557003 11 11
557429 1 1
55794120 3 3
559225332 2 2
561444 7 7
562418 1 1
56244 1 1
565188 8 8
569021 1 1
572542 8 8
574 3 3
576319 8 8
577518 1 1
577654 5 5
578259727 2 2
58183 1 1
581907 1 1
584595236 15 15
584819 12 12
586993 1 1
587411 1 1
58802939 3 3
589532 12 12
590165 5 5
592011 7 7
592601 12 12
595652 3 3
596684 1 1
602249265 15 15
602249289 15 15
602249317 5 5
602249367 5 5
602249369 5 5
602249371 5 5
602249385 5 5
6064 8 8
609342 12 12
612127 1 1
613423 1 1
615131 7 7
616809 1 1
617196 12 12
620881 12 3
620891 7 3
622105 7 7
623232 1 1
623843 1 1
624791 8 8
626592 7 7
628504 1 1
628796 12 12
631126 12 12
632754 3 3
634035 3 3
635034 7 7
636666968 15 15
636666980 15 3
636666992 12 12
636666998 3 3
636667034 3 3
636667061 0 0
636667062 0 0
636667076 3 3
636667147 12 12
636667151 12 5
636667155 12 12
636667156 12 12
636667179 0 0
636667189 0 7
636667192 0 0
636667222 0 0
636667232 0 0
636667283 3 3
636667299 3 3
636667327 0 7
636667328 0 0
636667340 0 3
636667342 0 3
636667343 0 7
636667368 0 0
636667384 12 12
636667398 0 0
636667400 0 0
636667414 0 0
636667416 0 0
636667431 0 0
636667433 0 0
636667434 0 0
636667474 12 12
636667477 12 0
636667479 12 12
636667508 0 0
636667528 0 0
636667547 0 0
636667550 0 0
636667565 3 3
636667593 12 3
636667628 0 0
636667641 12 3
636667649 0 0
636667668 3 3
636667673 3 3
636667694 1 1
636667717 0 3
636667727 0 3
636667824 3 3
636667830 3 3
636667838 3 3
636667894 12 12
636667895 12 3
636667899 12 12
636667972 12 12
636668039 0 0
636668056 0 0
636668088 12 12
636668105 1 1
636668119 1 1
636668131 1 1
636668182 0 5
636668191 12 12
636668244 3 3
636668277 0 0
636668330 0 0
636668340 0 7
636668406 12 12
636668409 12 3
636668413 12 12
636668450 0 0
636668452 0 0
636668482 3 3
636668509 0 0
636668523 0 0
636668525 0 3
636668533 0 3
636668614 0 0
636668638 15 15
636668707 3 12
636668746 12 12
636668797 0 7
636668816 3 12
636668861 5 5
636668870 0 0
636668873 0 0
636668882 0 0
636668885 0 0
636668895 0 0
636668917 0 0
636668918 0 0
636668945 0 0
636668985 0 0
636668997 3 5
636669042 0 0
636669077 1 3
636669084 1 1
636669100 0 0
636669105 0 3
636669108 0 0
636669109 0 0
636669150 0 0
636669164 0 0
636669165 0 0
636669171 5 5
636669173 0 1
636669177 0 0
636669182 0 0
636669193 3 3
636669268 0 0
636669277 0 0
636669279 0 0
636669289 0 0
636669299 0 0
636669304 0 0
636669316 3 3
636669324 3 3
636669349 0 0
636669360 0 0
636669364 0 3
636669388 0 0
636669404 15 15
636669442 0 0
636669443 0 3
636669486 0 0
636669488 0 0
636669501 0 0
636669514 3 3
636669537 3 3
636669543 3 3
636669567 1 1
636669571 1 3
636669574 1 1
636669595 3 3
636669601 0 0
636669653 0 0
636669663 0 0
636669676 15 1
636669683 0 0
636669691 12 12
636669717 0 0
636669727 0 3
636669728 0 0
636669731 0 3
636669751 3 3
636669752 3 3
636669764 3 3
636669774 0 7
636669786 0 0
636669804 5 5
636669873 3 3
636669879 3 12
636669900 15 3
636669905 0 0
636669907 0 12
636669939 0 0
636669942 0 0
636669958 0 0
636669960 0 0
636669965 0 0
636669995 0 0
636670005 0 0
636670007 1 3
636670017 12 12
636670067 12 12
636670112 3 3
636670133 12 12
636670140 12 12
636670157 3 3
636670175 0 0
636670181 0 0
636670182 0 0
636670193 0 0
636670236 3 3
636670243 3 3
636670253 0 0
636670262 0 0
636670263 0 0
636670265 0 0
636670268 0 0
636670325 0 0
636670329 0 0
636670387 3 3
636670459 0 0
636670467 3 3
636670469 3 3
636670473 3 3
636670517 1 1
636670619 0 3
636670639 12 12
636670675 1 1
636670694 12 12
636670704 12 12
636670715 12 12
636670717 12 12
636670761 1 1
636670770 1 1
636670785 1 5
636670824 0 3
636670825 0 0
636670829 0 0
636670874 12 12
636670936 12 5
636670947 12 12
636670956 15 3
636670960 15 15
636670977 15 15
636670980 1 1
636670983 1 1
636670990 0 0
636670993 0 3
636670996 0 7
636671008 0 3
636671018 0 0
636671028 3 3
636671049 12 12
636671053 12 12
636671085 5 5
636671109 0 0
636671130 0 0
636671191 12 12
636671200 3 3
636671221 1 1
636671269 0 0
636671281 15 15
636671288 15 15
636671313 0 0
636671322 0 0
636671336 0 0
636671338 0 3
636671344 5 3
636671357 12 12
636671358 12 12
636671365 12 12
636671401 0 0
636671426 3 3
636671459 1 1
636671465 1 1
636671468 0 5
636671488 12 12
636671530 0 0
636671536 15 3
636671570 12 12
636671587 0 0
636671600 0 3
636671607 0 0
636671620 12 12
636671624 12 12
636671632 0 0
636671638 0 0
636671660 0 7
636671663 0 0
636671668 0 0
636671721 0 0
636671734 0 0
636671738 0 0
636671751 0 3
636671753 0 0
636671761 12 12
636671766 12 12
636671778 12 12
636671789 3 3
636671790 3 3
